rank,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1,BTS,Butter,BIGHIT MUSIC,1,1,20,306344,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0906,0.695,109.997,164442,4
2,Yuuri,ドライフラワー,Sony Music Labels Inc.,1,2,221,266794,0.463,0.624,7,-5.118,1,0.0274,0.426,0.0,0.221,0.521,147.929,285587,4
3,BTS,Dynamite,BIGHIT MUSIC,1,3,293,256662,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,199054,4
4,Fujii Kaze,きらり,Universal Music LLC,4,4,39,219453,0.746,0.764,2,-6.833,1,0.0462,0.00803,0.0,0.357,0.701,116.982,231883,4
5,YOASOBI,夜に駆ける,YOASOBI,1,6,451,218564,0.663,0.871,8,-5.287,1,0.03,0.00299,1.8e-06,0.337,0.826,130.025,258840,4
6,Kenshi Yonezu,Pale Blue,Sony Music Labels Inc.,4,5,11,213675,0.688,0.457,2,-8.635,1,0.0487,0.206,1.51e-05,0.406,0.445,87.99,296547,4
7,YOASOBI,怪物,YOASOBI,4,7,155,212507,0.627,0.824,1,-3.419,1,0.118,0.0699,6.57e-05,0.31,0.774,169.935,206000,4
8,Awesome City Club,勿忘,cutting edge,3,8,134,201301,0.448,0.447,6,-7.161,0,0.045,0.234,0.0,0.382,0.299,78.861,251533,4
9,YOASOBI,群青,YOASOBI,5,9,282,190678,0.725,0.853,10,-3.193,1,0.0516,0.305,0.0,0.115,0.707,134.991,248027,4
10,back number,怪盗,Universal Music LLC,10,12,17,181592,0.636,0.847,7,-2.093,1,0.037,0.407,0.0,0.295,0.8,114.028,196226,4
11,YOASOBI,もう少しだけ,YOASOBI,8,10,31,180449,0.675,0.746,8,-5.531,1,0.0288,0.12,0.0,0.121,0.533,99.99,220201,4
12,Ado,踊,Universal Music LLC,9,11,44,180364,0.707,0.965,1,-0.736,1,0.105,0.15,1.38e-06,0.726,0.777,128.003,208271,4
13,Gen Hoshino,不思議,Speedstar,12,13,45,171273,0.753,0.574,3,-4.57,1,0.0483,0.0512,3.71e-06,0.141,0.527,89.024,290000,4
